Chinese,Pinyin,Definition,例句
生根发芽,shēng gēn fā yá,take root and sprout,1) 这颗种子在土壤中生根发芽了。2) 在市场经济的推动下，越来越多的外国企业开始在中国投资，希望在这个潜力巨大的市场中生根发芽。
以…为代表,yǐ...wéi dàibiǎo,represent by...,1）以ChatGPT 为代表的新AI 技术正在加速升级法律服务。2）手机行业以华为、小米为代表，无人机行业以大疆(DJI)为代表，都获得了海外用户的认可。
受众,shòu zhòng,audience,这部电影的受众主要是青少年。
进化,jìn huà,evolve,进化论(evolutionary theory)认为，生物在长时间的进化过程中适应了环境。
时期,shí qī,period,1) 当前，世界正面临许多全球性问题，例如气候变化和国际关系紧张，这是一个充满挑战的时期。2) 在中国历史的不同时期，经济和社会都发生了巨大的变化。
呈现,chéng xiàn,present,1) 这幅画作品中呈现了丰富的色彩和构图。 2）该公司将在新产品发布会上呈现其最新的科技创新和产品设计。
主题,zhǔ tí,theme,这部电影的主题是爱情。
抒情,shū qíng,"lyrical, expressing emotions",1) 这首歌曲以其抒情的旋律(melody)和歌词而闻名。 2) 她唱的抒情类歌曲非常好听。
繁荣,fán róng,prosperity,这个城市正在经历经济繁荣的时期。
以...论英雄,yǐ...lùn yīng xióng,to judge heroes based on...,在当今社会，一些人将财富和地位作为评价英雄的标准，主张以金钱和社会地位论英雄。
略胜一筹,lüè shèng yì chóu,slightly better than,这支队伍在比赛中略胜一筹，最终获得了胜利。
人生赢家,rén shēng yíng jiā,winner in life,他经过多次的努力和奋斗，终成人生赢家。
摇滚,yáo gǔn,rock and roll,这支乐队以其独特的摇滚音乐风格而闻名。
凭、凭借,"píng, píng jiè",rely on,（凭借…+VP）1）他凭借自己的聪明才智在工作中取得了成功。2）这个公司凭借其创新产品在市场上占据了领先地位。
一无所有,yì wú suǒ yǒu,have nothing,他失去了所有的财产，现在一无所有。
率先,shuài xiān,take the lead,这家公司在绿色环保方面率先行动。
占领,zhàn lǐng,occupy,军队成功占领了敌方的阵地。2) 这款新产品一经推出就很快占领了市场。
激情,jī qíng,passion,1）他对音乐充满了激情。2）那时候的他充满了激情与理想。
突出,tū chū,"Prominent, outstanding",1）他在这次比赛中表现突出，获得了金牌。 2）这次行动项目在会议上被认为是最突出的成就之一。
累计,lěi jì,accumulate,这家公司今年的营业额已经累计达到了1亿美元。
销量,xiāo liàng,sales volume,1）春节前夕，商店里的肉类和水果销量倍增。2）经过大力宣传后，该款产品销量有所提升。
先驱、先驱者,xiān qū,pioneer,"1）他是电子音乐领域的先驱之一。2）美国革命先驱曾说过：“不自由，毋宁死”！（ Give me liberty, or give me death!）"
标配,biāo pèi,"standard configuration, comes with …as standard",1）这款电视自带了高清屏幕和智能功能（high-definition screen and smart functions），是目前市场上的标配。2）这款手机标配了快速充电和高像素摄像头（fast charging and a high-resolution camera）。
滥情,làn qíng,promiscuous,1）他因为滥情而失去了许多朋友。2）在这个滥情的年代，一句亲爱的，充其量也就是个你好，何必太认真。
横空出世,héng kōng chū shì,emerge suddenly,这位年轻的艺术家横空出世，一举成名。
审美标准,shěn měi biāo zhǔn,aesthetic standards,不同文化对审美标准有不同的看法。
逐渐,zhú jiàn,gradually,随着时间的推移，他逐渐变得更加成熟。
创意,chuàng yì,creativity,这幅画作展现了艺术家的创意和想象力。
另类,lìng lèi,"(adj. /n.) alternative, something out of the ordinary",1) 这是一部另类电影，不同于传统的电影风格。2）在众多歌手中，他显得十分另类。
偶像,ǒu xiàng,idol,这位歌手是年轻人心中的偶像。
进军,jìn jūn,march into,这家公司计划进军国际市场。
霸占,bà zhàn,seize and occupy,霸占土地的行为是违法的，应该受到法律制裁（sanction）。
盗版,dào bǎn,piracy,这部电影在上映后不久就被盗版了。
收益（=利润）,shōu yì,revenue,这家企业今年的收益比去年增长了50%。
曾经,céng jīng,once,曾经的失败使他更加坚强。
拯救,zhěng jiù,rescue,消防员（firefighters）迅速赶到火灾现场，英勇拯救被困居民。
